Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,Pkt Size Avg,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
6,9556,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,6278.777731,837.1703642,1365.142857,1447.714225,4022.0,13.0,5511.0,1837.0,1441.824885,3380.0,524.0,5588.0,1862.666667,2386.259067,4559.0,23.0,128,144,418.5851821,418.5851821,0,30,6.666666667,13.22875656,175.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8782,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,6832.156684,910.9542246,1254.571429,1607.096435,4049.0,8.0,4725.0,1575.0,2277.04216,4204.0,226.0,5618.0,1872.666667,2191.816674,4287.0,8.0,128,144,455.4771123,455.4771123,0,30,6.666666667,13.22875656,175.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4047,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,988.3864591,1349.0,1835.406222,3443.0,19.0,585.0,585.0,0.0,585.0,585.0,19.0,19.0,0.0,19.0,19.0,64,80,494.1932296,494.1932296,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9383,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,6394.543323,852.6057764,1340.428571,1883.208862,4141.0,1.0,5234.0,1744.666667,2875.003014,5063.0,1.0,5458.0,1819.333333,2235.697952,4318.0,8.0,128,144,426.3028882,426.3028882,0,30,6.666666667,13.22875656,175.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9436,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,6358.626537,847.8168716,1348.0,1623.399725,3706.0,12.0,5717.0,1905.666667,2764.904037,5094.0,168.0,5532.0,1844.0,1945.102311,3886.0,13.0,128,144,423.9084358,423.9084358,0,30,6.666666667,13.22875656,175.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3819,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1047.394606,1273.0,1859.562314,3409.0,15.0,395.0,395.0,0.0,395.0,395.0,15.0,15.0,0.0,15.0,15.0,64,80,523.697303,523.697303,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8019,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,7482.229704,997.6306273,1145.571429,1398.499059,3674.0,7.0,4336.0,1445.333333,1750.80591,3434.0,136.0,4852.0,1617.333333,1971.667399,3817.0,9.0,128,144,498.8153136,498.8153136,0,30,6.666666667,13.22875656,175.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9020,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,6651.884701,886.9179601,1288.571429,1609.664857,3838.0,6.0,5170.0,1723.333333,2275.393885,4320.0,78.0,4966.0,1655.333333,2028.160086,3922.0,12.0,128,144,443.45898,443.45898,0,30,6.666666667,13.22875656,175.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4372,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,914.9130833,1457.333333,1973.319369,3708.0,24.0,640.0,640.0,0.0,640.0,640.0,24.0,24.0,0.0,24.0,24.0,64,80,457.4565416,457.4565416,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,10376,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,5782.575173,771.0100231,1482.285714,1425.006048,3870.0,7.0,7633.0,2544.333333,2518.978431,5416.0,708.0,5798.0,1932.666667,2159.202708,4267.0,7.0,128,144,385.5050116,385.5050116,0,30,6.666666667,13.22875656,175.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6919,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,8671.773378,1156.23645,988.4285714,1101.532093,2641.0,10.0,4552.0,1517.333333,1904.947331,3693.0,149.0,4129.0,1376.333333,1555.681951,3072.0,15.0,128,144,578.1182252,578.1182252,0,30,6.666666667,13.22875656,175.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2950,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1355.932203,983.3333333,1599.865411,2830.0,16.0,104.0,104.0,0.0,104.0,104.0,16.0,16.0,0.0,16.0,16.0,64,80,677.9661017,677.9661017,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7089,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,8463.817182,1128.508958,1012.714286,1090.562197,2645.0,6.0,4659.0,1553.0,1787.139894,3616.0,478.0,3966.0,1322.0,1538.846321,3014.0,6.0,128,144,564.2544788,564.2544788,0,30,6.666666667,13.22875656,175.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6747,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,8892.841263,1185.712168,963.8571429,1032.280231,2676.0,7.0,4064.0,1354.666667,1492.846386,3075.0,400.0,4108.0,1369.333333,1571.104813,3088.0,7.0,128,144,592.8560842,592.8560842,0,30,6.666666667,13.22875656,175.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2134,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1874.414246,711.3333333,1035.075038,1901.0,17.0,216.0,216.0,0.0,216.0,216.0,17.0,17.0,0.0,17.0,17.0,64,80,937.2071228,937.2071228,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13133,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,4568.643874,609.1525166,1876.142857,2525.654795,7184.0,6.0,11078.0,3692.666667,3365.492584,7184.0,469.0,3506.0,1168.666667,1281.676376,2543.0,6.0,128,144,304.5762583,304.5762583,0,30,6.666666667,13.22875656,175.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
