Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.17.0.2-200.175.2.130-80-48856-6,200.175.2.130,48856,172.17.0.2,80,6,12/1/2020 1:14,4045,2,5,476,1803,476,0,238.0,336.5828278,1803,0,360.6,806.3261127000001,563411.6193,1730.53152,674.1666667000001,940.9100735999999,2194.0,20.0,211.0,211.0,0.0,211.0,211.0,4045.0,1011.25,1166.922555,2425.0,46.0,0,0,0,0,64,176,494.4375773,1236.093943,0,1803,284.875,635.6273476,404022.125,0,1,0,0,0,0,0,0,2,325.57142860000005,238.0,360.6,0,0,0,0,0,0,2,476,5,1803,-1,59,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BFA
172.17.0.2-200.175.2.130-80-48856-6,200.175.2.130,48856,172.17.0.2,80,6,12/1/2020 1:14,284,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,7042.253521,284.0,0.0,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,3521.126761,3521.126761,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,62,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BFA
172.17.0.2-200.175.2.130-80-48858-6,200.175.2.130,48858,172.17.0.2,80,6,12/1/2020 1:14,4302,2,5,478,1803,478,0,239.0,337.9970414,1803,0,360.6,806.3261127000001,530218.503,1627.150163,717.0,1092.01978,2557.0,13.0,69.0,69.0,0.0,69.0,69.0,4302.0,1075.5,1249.179331,2557.0,19.0,0,0,0,0,64,176,464.9000465,1162.250116,0,1803,285.125,635.7136457,404131.8393,0,1,0,0,0,0,0,0,2,325.85714289999993,239.0,360.6,0,0,0,0,0,0,2,478,5,1803,-1,59,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BFA
172.17.0.2-200.175.2.130-80-48858-6,200.175.2.130,48858,172.17.0.2,80,6,12/1/2020 1:14,83,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,24096.38554,83.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,12048.19277,12048.19277,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,62,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BFA
172.17.0.2-200.175.2.130-80-48860-6,200.175.2.130,48860,172.17.0.2,80,6,12/1/2020 1:14,3760,2,5,477,1803,477,0,238.5,337.28993460000004,1803,0,360.6,806.3261127000001,606382.9787,1861.7021280000001,626.6666667000001,957.2211169,2267.0,13.0,62.0,62.0,0.0,62.0,62.0,3760.0,940.0,1096.287675,2267.0,19.0,0,0,0,0,64,176,531.9148936,1329.787234,0,1803,285.0,635.6703997999999,404076.8571,0,1,0,0,0,0,0,0,2,325.7142857,238.5,360.6,0,0,0,0,0,0,2,477,5,1803,-1,59,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BFA
172.17.0.2-200.175.2.130-80-48860-6,200.175.2.130,48860,172.17.0.2,80,6,12/1/2020 1:14,87,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22988.50575,87.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,11494.25287,11494.25287,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,62,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BFA
172.17.0.2-200.175.2.130-80-48862-6,200.175.2.130,48862,172.17.0.2,80,6,12/1/2020 1:14,9459,2,5,480,1803,480,0,240.0,339.411255,1803,0,360.6,806.3261127000001,241357.4374,740.0359446,1576.5,2524.058854,6262.0,19.0,297.0,297.0,0.0,297.0,297.0,9459.0,2364.75,3075.016463,6578.0,20.0,0,0,0,0,64,176,211.4388413,528.5971033,0,1803,285.375,635.8007183999999,404242.5536,0,1,0,0,0,0,0,0,2,326.14285710000007,240.0,360.6,0,0,0,0,0,0,2,480,5,1803,-1,59,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BFA
172.17.0.2-200.175.2.130-80-48862-6,200.175.2.130,48862,172.17.0.2,80,6,12/1/2020 1:14,154,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,12987.012990000001,154.0,0.0,154.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,6493.506494,6493.506494,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,62,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BFA
172.17.0.2-200.175.2.130-80-48864-6,200.175.2.130,48864,172.17.0.2,80,6,12/1/2020 1:14,4582,2,5,480,1803,480,0,240.0,339.411255,1803,0,360.6,806.3261127000001,498254.0375,1527.717154,763.6666667000001,1071.997699,2346.0,21.0,123.0,123.0,0.0,123.0,123.0,4582.0,1145.5,1236.200227,2346.0,21.0,0,0,0,0,64,176,436.49061550000005,1091.226539,0,1803,285.375,635.8007183999999,404242.5536,0,1,0,0,0,0,0,0,2,326.14285710000007,240.0,360.6,0,0,0,0,0,0,2,480,5,1803,-1,59,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BFA
172.17.0.2-200.175.2.130-80-48864-6,200.175.2.130,48864,172.17.0.2,80,6,12/1/2020 1:14,761,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2628.120894,761.0,0.0,761.0,761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,1314.060447,1314.060447,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,62,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BFA
